Unnamed: 0,url,code,name,今收,增长幅度,增长率,最高,最低,今开,昨收,涨停,跌停,换手率,振幅,成交量,成交额,内盘,外盘,委比,涨跌幅,市盈率(动),市净率,流通市值,总市值
0,https://hq.gucheng.com/SZ000001/,SZ000001,平安银行,13.69,-0.08,-0.58%,13.76,13.60,13.76,13.77,9.60,7.86,0.34%,1.16%,66.27万,90434.95万,37.23万,29.04万,-10.46%,-0.58%,7.77,7.77,2656.65亿,2656.67亿
1,https://hq.gucheng.com/SZ000002/,SZ000002,万 科A,25.97,-0.29,-1.10%,26.18,25.88,26.18,26.26,24.95,20.41,0.59%,1.14%,57.32万,148917.71万,31.41万,25.91万,48.71%,-1.10%,58.73,58.73,2523.03亿,2935.17亿
2,https://hq.gucheng.com/SZ000004/,SZ000004,国农科技,29.17,0.16,0.55%,29.38,28.82,29.27,29.01,19.51,15.97,2.83%,1.93%,2.38万,6925.62万,1.21万,1.17万,91.61%,0.55%,315.42,315.42,24.48亿,48.15亿
3,https://hq.gucheng.com/SZ000005/,SZ000005,世纪星源,2.69,0.01,0.37%,2.70,2.68,2.69,2.68,3.38,2.76,0.38%,0.75%,3.98万,1068.86万,2.56万,1.42万,34.23%,0.37%,-33.92,-33.92,28.46亿,28.47亿
4,https://hq.gucheng.com/SZ000006/,SZ000006,深振业A,4.94,-0.03,-0.60%,4.99,4.88,4.98,4.97,5.96,4.88,1.04%,2.21%,14.06万,6930.54万,7.6万,6.46万,-48.81%,-0.60%,13.03,13.03,66.61亿,66.69亿
5,https://hq.gucheng.com/SZ000007/,SZ000007,全新好,7.86,-0.01,-0.13%,7.90,7.82,7.87,7.87,15.31,12.53,0.74%,1.02%,2.28万,1789.88万,0.98万,1.3万,51.79%,-0.13%,-29.85,-29.85,24.28亿,27.23亿
6,https://hq.gucheng.com/SZ000008/,SZ000008,神州高铁,3.15,-0.02,-0.63%,3.17,3.12,3.17,3.17,5.46,4.46,0.96%,1.58%,25.64万,8045.33万,15.92万,9.72万,0.00%,-0.63%,-20.24,-20.24,83.96亿,87.6亿
7,https://hq.gucheng.com/SZ000009/,SZ000009,中国宝安,7.13,0.39,5.79%,7.37,6.60,6.72,6.74,5.47,4.47,5.13%,11.42%,130.41万,90427.38万,66.45万,63.96万,-28.91%,5.79%,114.39,114.39,181.38亿,183.9亿
8,https://hq.gucheng.com/SZ000010/,SZ000010,美丽生态,4.06,0.01,0.25%,4.08,4.01,4.04,4.05,4.75,3.89,0.29%,1.73%,1.51万,612.93万,0.64万,0.87万,-28.03%,0.25%,-71.18,-71.18,21.2亿,33.29亿
9,https://hq.gucheng.com/SZ000011/,SZ000011,深物业A,9.04,-0.10,-1.09%,9.17,8.98,9.14,9.14,10.96,8.96,0.76%,2.08%,3.98万,3610.86万,2.4万,1.58万,43.54%,-1.09%,8.86,8.86,47.59亿,53.88亿
10,https://hq.gucheng.com/SZ000012/,SZ000012,南 玻A,4.55,0.05,1.11%,4.62,4.48,4.51,4.50,5.26,4.30,1.19%,3.11%,23.21万,10574.88万,11.46万,11.76万,-54.90%,1.11%,31.77,31.77,89.08亿,141.42亿
11,https://hq.gucheng.com/SZ000014/,SZ000014,沙河股份,8.26,-0.04,-0.48%,8.29,8.20,8.25,8.30,13.78,11.28,0.75%,1.08%,1.52万,1251.59万,0.85万,0.67万,-51.62%,-0.48%,53.63,53.63,16.66亿,16.66亿
12,https://hq.gucheng.com/SZ000016/,SZ000016,深康佳A,7.40,-0.34,-4.39%,7.69,7.38,7.68,7.74,5.29,4.33,7.83%,4.01%,124.94万,93685.68万,71.83万,53.11万,-7.88%,-4.39%,-20.19,-20.19,118.15亿,178.19亿
13,https://hq.gucheng.com/SZ000017/,SZ000017,深中华A,2.87,-0.15,-4.97%,2.87,2.87,2.87,3.02,3.84,3.14,0.69%,0.00%,2.1万,602.24万,0万,2.1万,-16.43%,-4.97%,-668.34,-668.34,8.7亿,15.82亿
14,https://hq.gucheng.com/SZ000018/,SZ000018,神州长城,0.82,0.00,0.00%,0.00,0.00,0.00,0.82,3.52,2.88,0.00%,0.00%,0万,0万,0万,0万,-27.06%,0.00%,-0.68,-0.68,8.17亿,13.93亿
15,https://hq.gucheng.com/SZ000019/,SZ000019,深深宝A,9.43,0.17,1.84%,9.70,9.03,9.26,9.26,10.63,8.69,14.71%,7.24%,61.22万,57553.96万,31.17万,30.05万,25.15%,1.84%,32.74,32.74,39.25亿,108.68亿
16,https://hq.gucheng.com/SZ000020/,SZ000020,深华发A,9.01,-0.07,-0.77%,9.17,8.95,9.17,9.08,13.84,11.32,0.53%,2.42%,0.96万,865.66万,0.65万,0.3万,12.92%,-0.77%,-1591.61,-1591.61,16.32亿,25.51亿
17,https://hq.gucheng.com/SZ000021/,SZ000021,深科技,20.30,-0.60,-2.87%,21.04,20.27,20.90,20.90,7.49,6.13,3.26%,3.68%,47.94万,98664.87万,25.82万,22.12万,-12.95%,-2.87%,91.77,91.77,298.27亿,298.67亿
18,https://hq.gucheng.com/SZ000022/,SZ000022,深赤湾A,16.46,0.00,0.00%,0.00,0.00,0.00,16.46,19.13,15.65,0.00%,0.00%,0万,0万,0万,0万,-7.03%,0.00%,48.85,48.85,76.52亿,295.2亿
19,https://hq.gucheng.com/SZ000023/,SZ000023,深天地A,16.00,-0.23,-1.42%,16.47,15.94,16.22,16.23,14.44,11.82,1.81%,3.27%,2.51万,4038.33万,1.59万,0.92万,-21.56%,-1.42%,-48.16,-48.16,22.2亿,22.2亿
20,https://hq.gucheng.com/SZ000025/,SZ000025,特 力A,17.93,0.01,0.06%,18.00,17.82,17.92,17.92,34.56,28.28,0.84%,1.00%,3.29万,5890.82万,1.78万,1.51万,53.73%,0.06%,370.93,370.93,70.43亿,77.29亿
21,https://hq.gucheng.com/SZ000026/,SZ000026,飞亚达A,8.35,-0.01,-0.12%,8.42,8.31,8.36,8.36,9.04,7.40,0.63%,1.32%,2.24万,1871.01万,1.44万,0.79万,-13.18%,-0.12%,-68.90,-68.90,29.79亿,35.76亿
22,https://hq.gucheng.com/SZ000027/,SZ000027,深圳能源,5.45,-0.05,-0.91%,5.50,5.42,5.49,5.50,5.30,4.34,0.24%,1.45%,9.36万,5097.83万,5.62万,3.74万,-44.57%,-0.91%,25.75,25.75,216.06亿,216.06亿
23,https://hq.gucheng.com/SZ000028/,SZ000028,国药一致,41.15,-0.47,-1.13%,41.69,40.99,41.67,41.62,50.41,41.25,0.66%,1.68%,2.44万,10078.75万,1.54万,0.9万,15.59%,-1.13%,17.70,17.70,151.32亿,176.17亿
24,https://hq.gucheng.com/SZ000029/,SZ000029,深深房A,10.97,0.00,0.00%,0.00,0.00,0.00,10.97,12.29,10.05,0.00%,0.00%,0万,0万,0万,0万,0.00%,0.00%,98.68,98.68,97.82亿,110.98亿
25,https://hq.gucheng.com/SZ000030/,SZ000030,富奥股份,4.71,-0.12,-2.48%,4.80,4.69,4.80,4.83,8.25,6.75,0.41%,2.28%,7.27万,3437.26万,4.9万,2.37万,-45.83%,-2.48%,17.94,17.94,82.89亿,85.28亿
26,https://hq.gucheng.com/SZ000031/,SZ000031,中粮地产,5.18,-0.09,-1.71%,5.29,5.16,5.27,5.27,6.27,5.13,0.51%,2.47%,9.17万,4761.49万,5.96万,3.21万,12.45%,-1.71%,29.27,29.27,93.95亿,222.03亿
27,https://hq.gucheng.com/SZ000032/,SZ000032,深桑达A,17.65,-0.25,-1.40%,18.19,17.60,17.92,17.90,8.43,6.89,1.08%,3.30%,4.44万,7940.62万,2.65万,1.79万,4.62%,-1.40%,101.68,101.68,72.59亿,72.93亿
28,https://hq.gucheng.com/SZ000034/,SZ000034,神州数码,25.96,0.36,1.41%,26.35,25.62,26.00,25.60,17.26,14.12,4.06%,2.85%,19.54万,50630.64万,9.16万,10.39万,34.62%,1.41%,35.92,35.92,124.9亿,169.8亿
29,https://hq.gucheng.com/SZ000035/,SZ000035,中国天楹,4.99,-0.09,-1.77%,5.07,4.96,5.07,5.08,5.09,4.17,0.52%,2.17%,12.42万,6212.36万,8.36万,4.06万,-12.84%,-1.77%,29.11,29.11,118.18亿,125.94亿
30,https://hq.gucheng.com/SZ000036/,SZ000036,华联控股,4.12,0.03,0.73%,4.17,4.06,4.08,4.09,6.68,5.46,1.14%,2.69%,16.81万,6938.93万,7.41万,9.39万,-5.68%,0.73%,4.92,4.92,60.93亿,61.14亿
31,https://hq.gucheng.com/SZ000037/,SZ000037,深南电A,11.60,-0.09,-0.77%,11.78,11.52,11.69,11.69,6.36,5.20,0.46%,2.22%,1.56万,1811.95万,0.93万,0.62万,55.10%,-0.77%,-124.65,-124.65,39.31亿,69.92亿
32,https://hq.gucheng.com/SZ000038/,SZ000038,深大通,10.05,-0.28,-2.71%,10.45,9.95,10.45,10.33,19.91,16.29,6.63%,4.84%,15.39万,15559.24万,8.48万,6.91万,0.00%,-2.71%,61.99,61.99,23.32亿,52.54亿
33,https://hq.gucheng.com/SZ000039/,SZ000039,中集集团,7.51,0.08,1.08%,7.65,7.47,7.55,7.43,13.24,10.84,0.69%,2.42%,10.51万,7946.4万,5.63万,4.88万,46.83%,1.08%,-10.50,-10.50,114.55亿,269.31亿
34,https://hq.gucheng.com/SZ000040/,SZ000040,东旭蓝天,3.05,-0.04,-1.29%,3.11,3.03,3.08,3.09,10.33,8.45,1.30%,2.59%,13.81万,4228.82万,9.02万,4.79万,-2.66%,-1.29%,-21.15,-21.15,32.34亿,45.35亿
35,https://hq.gucheng.com/SZ000042/,SZ000042,中洲控股,9.47,0.04,0.42%,9.48,9.38,9.43,9.43,17.39,14.23,0.09%,1.06%,0.56万,532.17万,0.33万,0.24万,-55.98%,0.42%,-21.03,-21.03,62.71亿,62.96亿
36,https://hq.gucheng.com/SZ000043/,SZ000043,中航善达,20.25,0.39,1.96%,20.49,19.71,19.91,19.86,7.88,6.44,1.06%,3.93%,7.1万,14298.38万,3.62万,3.48万,-8.56%,1.96%,116.41,116.41,135.03亿,214.72亿
37,https://hq.gucheng.com/SZ000045/,SZ000045,深纺织A,6.80,-0.04,-0.58%,6.91,6.78,6.86,6.84,7.45,6.09,0.60%,1.90%,2.76万,1884.66万,1.59万,1.17万,-53.97%,-0.58%,-148.59,-148.59,31.08亿,34.64亿
38,https://hq.gucheng.com/SZ000046/,SZ000046,泛海控股,3.50,-0.04,-1.13%,3.57,3.48,3.53,3.54,6.89,5.63,0.19%,2.54%,9.63万,3382.58万,6.62万,3万,90.22%,-1.13%,-37.77,-37.77,181.13亿,181.87亿
39,https://hq.gucheng.com/SZ000048/,SZ000048,*ST康达,25.58,0.57,2.28%,25.95,24.71,25.00,25.01,18.59,16.82,1.06%,4.96%,4.26万,10871.66万,1.96万,2.3万,-11.24%,2.28%,43.34,43.34,102.94亿,102.96亿
40,https://hq.gucheng.com/SZ000049/,SZ000049,德赛电池,44.89,4.08,10.00%,44.89,41.50,41.65,40.81,31.93,26.13,12.04%,8.31%,24.71万,107456.36万,11.67万,13.04万,-39.11%,10.00%,49.20,49.20,92.13亿,93.01亿
41,https://hq.gucheng.com/SZ000050/,SZ000050,深天马A,14.01,-0.26,-1.82%,14.41,13.95,14.27,14.27,15.61,12.77,1.13%,3.22%,20.72万,29197.03万,12.73万,7.99万,-75.96%,-1.82%,23.81,23.81,256.23亿,286.94亿
42,https://hq.gucheng.com/SZ000055/,SZ000055,方大集团,4.31,-0.08,-1.82%,4.36,4.25,4.35,4.39,5.35,4.37,1.77%,2.51%,12.04万,5182.62万,8.62万,3.42万,-55.47%,-1.82%,12.77,12.77,29.23亿,48.42亿
43,https://hq.gucheng.com/SZ000056/,SZ000056,皇庭国际,3.39,-0.04,-1.17%,3.46,3.39,3.42,3.43,11.33,9.27,0.39%,2.04%,3.48万,1189.99万,1.86万,1.62万,-59.45%,-1.17%,330.42,330.42,30.64亿,39.82亿
44,https://hq.gucheng.com/SZ000058/,SZ000058,深 赛 格,6.28,-0.08,-1.26%,6.40,6.28,6.36,6.36,5.42,4.44,2.31%,1.89%,12.42万,7867.61万,7.76万,4.67万,-7.67%,-1.26%,-164.58,-164.58,33.79亿,77.6亿
45,https://hq.gucheng.com/SZ000059/,SZ000059,华锦股份,4.88,-0.02,-0.41%,4.93,4.85,4.89,4.90,7.68,6.28,0.58%,1.63%,9.34万,4572.66万,4.48万,4.87万,-14.36%,-0.41%,-2.20,-2.20,78.05亿,78.05亿
46,https://hq.gucheng.com/SZ000060/,SZ000060,中金岭南,3.54,0.02,0.57%,3.56,3.49,3.52,3.52,4.92,4.02,0.69%,1.99%,24.67万,8699万,10.15万,14.52万,-2.16%,0.57%,22.17,22.17,126.32亿,126.37亿
47,https://hq.gucheng.com/SZ000061/,SZ000061,农 产 品,7.98,0.12,1.53%,8.19,7.71,7.85,7.86,5.65,4.63,5.06%,6.11%,85.8万,68732.75万,40.99万,44.81万,-84.67%,1.53%,70.51,70.51,135.29亿,135.42亿
48,https://hq.gucheng.com/SZ000062/,SZ000062,深圳华强,12.67,0.02,0.16%,12.84,12.46,12.70,12.65,22.62,18.50,0.75%,3.00%,7.84万,9907.74万,4万,3.84万,-20.45%,0.16%,29.34,29.34,132.36亿,132.52亿
49,https://hq.gucheng.com/SZ000063/,SZ000063,中兴通讯,42.21,0.29,0.69%,44.68,42.19,43.41,41.92,18.54,15.17,4.32%,5.94%,150.14万,649628.06万,75.38万,74.77万,56.09%,0.69%,62.40,62.40,1466.91亿,1946.87亿
